Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
Fresno St.,MWC,20,15-65–3,107.783,92.523,.853234,51.2120,47.467,18122,20.485,29.1149,22.210,30.2182,27.5115,51.4109,4774,33.9158,31.9103,61.5353,-0.968
Michigan,B10,19,11-85–4,114.618,98.494,.851135,52.956,48.7128,18.1130,15.2332,31.777,23.729,31.2148,25.471,53.558,49.7169,34.4127,31.374,65.8271,-172
North Carolina,ACC,22,16-68–3,112.925,97.173,.849036,52.282,49.3150,16.549,13.3355,30.7112,20.23,31.1154,21.613,49.1194,48.4130,38.514,33.8197,70.741,1.235
Marquette   (H) 6 Villanova,BE,22,15-77–4,108.273,93.229,.848537,52.380,45.423,17.694,19.5124,22.8315,31.5292,27.5250,29.1150,52.188,4525,3596,30.963,70.838,1.632
Providence,BE,21,19-29–1,111.337,95.951,.847938,50.3159,46.647,17.8108,16.5294,30.4117,28161,39.810,22.322,49.9162,4648,34148,31.796,65.7278,4.75
Oregon,P12,19,13-76–3,114.221,98.493,.846439,53.937,49.4158,17.9115,20.672,31.1100,30.5259,31.4141,28.3139,53.654,49.9178,36.353,32.4124,66.6228,-0.969
Utah St.,MWC,21,13-94–5,110.347,95.246,.844840,54.727,48.2100,18.7167,19155,25.1273,23.119,30.3176,27.3107,56.79,47.486,34.5120,32.8139,67.3180,-2.6108
TCU,B12,19,15-44–3,105.9105,91.419,.844141,48.2245,4636,21.1307,19.4132,39.11,25.367,30.3176,22.425,49.7169,45.535,30.1311,31.272,65.9268,2.318
Mississippi St.,SEC,21,14-75–3,113.322,97.985,.843342,52.766,50.7213,18.8171,19.7110,35.317,2439,35.950,26.794,54.243,50.7222,32.7221,33.8197,65.5287,-0.867
Wake Forest   (H) 195 Pittsburgh,ACC,22,17-57–4,110.148,95.245,.842543,55.613,46.238,18.4147,17.5248,26.3245,26.9106,33.387,2799,59.73,45.432,33.3185,31.686,7064,139
North Texas,CUSA,17,15-48–1,108.177,93.631,.839644,51.8102,48.195,19188,19.6117,31.586,25.263,3394,31.3213,48.1234,49.8173,37.621,29.424,59.6357,0.252
Murray St.,OVC,19,20-210–0,110.742,95.955,.838645,53.543,4889,17.8108,21.742,36.512,27.6139,31.3144,23.941,53.654,50.5211,35.479,29.424,67.3183,1.827
Oklahoma St.   (A) 70 Kansas St.,B12,20,10-103–5,104.4134,90.413,.838646,47.8258,46.647,21.2314,24.212,32.849,31.7301,35.752,34.3277,49.1194,44.413,29.9315,33.3167,68.996,-1.583
USC,P12,21,18-38–3,111.434,97.071,.830647,52.859,43.69,16.443,15.2332,34.324,25.979,30.9161,23.835,52.577,40.63,35.667,32.7133,67207,2.122
BYU,WCC,21,17-65–3,109.261,95.244,.828748,50.8139,45.731,18.6164,15.5327,3264,23.628,28.2237,30.5189,49.8166,47.279,35.190,28.818,68.7109,1.236
Virginia Tech   (H) 130 Georgia Tech,ACC,21,11-103–7,113.223,99.0109,.825149,55.317,47.987,17.378,19.2143,27.8200,29.2211,21.7350,25.471,51122,49.2157,41.22,30.551,63.1343,-2.9117
SMU,Amer,20,16-47–1,111.533,98.087,.814650,53.347,44.816,18.3139,16.8284,29.8135,29.8242,35.453,23.332,52.383,44.413,36.549,30.447,68.3132,0.742
,,,,,,,,,,,,,,,,,,,,
Creighton,BE,20,13-75–4,105.7108,93.028,.813851,51.3117,44.715,21.5326,16308,30.1126,28.8198,25.4302,20.55,54.243,42.38,30.9290,33145,67203,0.156
VCU   (H) 53 Dayton,A10,19,13-66–2,96.6283,85.12,.811252,49.7183,42.43,21.9337,26.42,26.6236,33.4335,28.6222,37.1313,48.9204,44.515,34.3135,25.62,67.5172,-0.157
Dayton   (A) 52 VCU,A10,21,14-76–2,105.3114,92.927,.809353,52.859,47.361,21.4323,18.5182,31.872,23.119,32.2116,2218,54.145,45.944,33.7169,33.1150,64.2329,-1.990
Saint Louis   (A) 94 George Mason,A10,19,14-65–2,108.864,96.057,.808254,50170,46.850,18.9179,19.7110,36.79,28.4180,3559,34.8285,49.1194,46.970,34.9100,31.170,68.5127,-1.481
Loyola Chicago   (H) 183 Illinois St.,MVC,19,16-47–2,109.751,96.868,.807955,56.29,47.571,17.270,19.6117,23.2309,23.524,32.2116,24.755,56.610,47.176,3731,32109,64.5322,138
Miami FL   (H) 78 Notre Dame,ACC,21,16-58–2,114.320,100.9150,.807656,53.543,52.9294,14.27,20.485,23.4305,31271,33.778,24.651,52.872,52275,36.549,36.1300,68.1139,1.830
Belmont,OVC,21,17-57–2,111.831,99.0112,.802357,56.85,49.4158,1763,20.391,26.4238,28.1167,25.8295,2564,60.12,49.1153,35.190,33.1150,69.582,0.153
UAB,CUSA,20,17-57–2,109.259,96.765,.802358,51.8102,47.467,15.930,23.518,33.436,28.8198,27.3260,31207,49.8166,4648,37.524,33.3167,69.681,-0.563
Furman   (H) 259 The Citadel,SC,22,16-78–2,111.039,98.492,.799659,55.415,50.1186,16.960,19155,27.2216,27111,24327,22.322,5368,51.3246,38.415,31.9103,65.9267,-1.886
Memphis,Amer,19,11-85–4,108.275,96.056,.797760,52.477,46.952,23.3350,21.547,37.17,31.6298,40.38,34.4278,5292,44.515,35.577,33.5178,71.718,-293
West Virginia,B12,21,13-82–6,106.3101,94.439,.797261,47.8258,49.1142,18.4147,23.616,30.9104,34.4349,36.143,29.2152,48240,50.3201,31.6265,31.477,67.6167,0.351
Missouri St.   (A) 124 Southern Illinois,MVC,22,16-77–3,112.428,99.8126,.797162,55.120,48.4112,15.218,16.7287,25.7260,24.852,27.1268,27.2103,54.537,47.279,37.425,33.6183,66.6231,-2.4101
Davidson,A10,20,18-38–1,117.48,104.7225,.789763,56.94,50.9222,1633,17276,24.7277,22.714,31.9128,28129,5446,50.2195,40.84,34.5228,64.8313,1.828
Cincinnati,Amer,20,15-65–3,103.8144,92.625,.788164,47.9256,41.71,15.218,18.8163,31.491,29.5227,27.9242,33.8263,48240,40.12,31.8253,30.239,67.8157,-170
Wichita St.,Amer,19,11-82–5,102.7166,91.821,.783465,46.5296,4636,19.3212,2159,31.679,27.8152,32.4108,31207,46300,46.659,31.4273,30.136,67.7164,-2.3100
Texas A&M,SEC,21,15-74–5,107.880,96.461,.783266,50.8139,47.361,19.4218,24.89,33.832,33.1330,33.876,33.4258,50.8128,46.456,33.9158,32.6128,66.7222,-0.765
Toledo,MAC,21,18-410–1,110.545,98.8105,.783067,52.672,46.749,15.930,16308,30.1126,27.7148,30.3176,24.959,52.285,48105,35.667,30.136,69.774,0.349
Syracuse   (A) 103 North Carolina St.,ACC,21,10-114–6,115.713,103.5196,.782968,52.188,51.9260,16.236,18.5182,30.8107,32311,31.3144,24.448,50.8128,52.2281,36.159,34.4226,68.2134,-3.7144
Colorado St.,MWC,18,16-36–3,113.224,101.5161,.778769,56.66,50.6207,1515,18.1209,22.6320,23.322,31.5137,2564,56.512,51.4249,37.918,33.1150,67.4175,1.433
Kansas St.   (H) 46 Oklahoma St.,B12,20,10-102–6,104.6127,94.036,.774470,48.8221,46.238,16.754,19.8107,25.8258,27.4127,27270,32.9245,47.6254,50.3201,33.7169,26.93,66.2254,-1.887
Florida St.   (A) 77 Clemson,ACC,20,13-76–4,107.882,96.869,.773771,50.8139,52262,18.8171,22.431,3347,28.2171,31.5137,30.9204,50.5140,48.7139,34.3135,37.5328,67.3182,-0.360
Wyoming,MWC,19,17-36–1,111.930,100.7144,.772572,55.120,4754,16.443,15.6325,24.3285,24.852,40.65,23.231,57.56,50.2195,34.6115,28.19,66.1257,225
Ohio,MAC,19,17-38–1,105.8106,95.243,.772073,51127,48.7128,16.236,20.863,28.6170,25.468,29.4199,26.282,51.5105,50.6216,33.5176,30.447,67.4177,0.743
Northwestern,B10,19,10-103–8,109.850,98.8106,.771074,50170,49.6169,13.95,19.6117,27.4209,24.444,26290,38.3323,48.5219,4774,35.190,35.6274,67.6166,-3.1123
Chattanooga   (A) 212 Samford,SC,20,18-48–1,111.435,100.2137,.770875,5353,49.1142,17.270,18.8163,3520,28.8198,28240,26.794,52.970,50185,35.479,31.796,64.3327,0.547
,,,,,,,,,,,,,,,,,,,,
Seton Hall,BE,19,13-74–6,106.597,95.952,.770276,46.9287,45.627,17.694,18.6176,32.948,27.2118,3647,26.690,46.8280,44.618,31.5270,31.796,69.967,-0.259
Clemson   (H) 71 Florida St.,ACC,20,11-93–6,109.358,98.597,.767277,53.740,48.4112,16.857,17.7234,27.4209,24.142,28.5225,29.9175,51.1119,47.486,38.711,33.3167,67.2188,-3.2132
Notre Dame   (A) 56 Miami FL,ACC,20,14-77–3,109.063,98.595,.762278,52.282,50.1186,15.726,17276,21.8333,24.444,27.3260,25.266,49.9162,49.9178,36.837,33.7186,65.6284,-0.158
Louisiana Tech,CUSA,18,16-57–2,108.176,97.986,.757679,52.766,47.361,16.651,19.3139,26.7232,29205,30.8164,27.3107,5446,45.739,34148,33.3167,68.2133,-1.276
South Dakota St.,Sum,22,20-411–0,115.315,104.8231,.749480,58.83,51.8257,16.339,15.8318,24.3285,23.937,34.764,2218,55.522,51.2243,43.31,35.1256,71.232,0.350
Iona,MAAC,21,18-310–0,107.388,97.779,.747281,50.3159,4754,17.7100,19.3139,32.456,28161,40.38,33.2251,51.3112,47.486,32.3240,30.758,70.744,1.829
Mississippi,SEC,22,12-103–6,105.3115,95.953,.745582,49.4193,48.8132,19188,20.485,27.1220,27111,29.6192,25.977,49.5174,51.5256,32.8215,29.629,65.7272,-2.8114
Tulane   (A) 2 Houston,Amer,18,9-96–3,108.568,99.0111,.741683,51.5112,49.8176,15.523,21.448,21344,31.1275,32.1122,29.3155,49.2187,49146,36.837,33.8197,67.6169,-4.3162
Santa Clara,WCC,22,14-84–3,110.546,100.8148,.740384,54.825,48.2100,16.443,17.5248,22.7317,27.8152,27.5250,19.83,53.849,46.762,37.819,34.3220,71.522,-294
St. John's,BE,20,11-93–6,107.784,98.598,.734885,50.8139,48.8132,17.694,23.220,33.242,33.9342,27.7245,34.2273,50.3148,44.618,34.5120,37.1323,73.25,-2.9116
