date,team,opponent,result
11-25,North+Carolina,College of Charleston,"W, 79-60 "
11-30,North+Carolina,UNLV,"W, 78-51 "
12-01,North+Carolina,Stanford,"W, 67-63 "
12-02,North+Carolina,Texas,"L, 69-67 "
12-08,North+Carolina,Iowa,"L, 93-80 "
12-12,North+Carolina,North Carolina Central,"W, 73-67 "
12-19,North+Carolina,Kentucky,"W, 75-63 "
12-22,North+Carolina,North Carolina St.,"L, 79-76 "
12-30,North+Carolina,Georgia Tech,"L, 72-67 "
1-02,North+Carolina,Notre Dame,"W, 66-65 "
1-05,North+Carolina,Miami FL,"W, 67-65 "
1-12,North+Carolina,Syracuse,"W, 81-75 "
1-16,North+Carolina,Florida St.,"L, 82-75 "
1-20,North+Carolina,Wake Forest,"W, 80-73 "
1-23,North+Carolina,North Carolina St.,"W, 86-76 "
1-26,North+Carolina,Pittsburgh,"W, 75-65 "
2-02,North+Carolina,Clemson,"L, 63-50 "
2-06,North+Carolina,Duke,"W, 91-87 "
2-13,North+Carolina,Virginia,"L, 60-48 "
2-17,North+Carolina,Northeastern,"W, 82-62 "
2-20,North+Carolina,Louisville,"W, 99-54 "
2-24,North+Carolina,Marquette,"L, 83-70 "
2-27,North+Carolina,Florida St.,"W, 78-70 "
3-01,North+Carolina,Syracuse,"L, 72-70 "
3-06,North+Carolina,Duke,"W, 91-73 "
3-10,North+Carolina,Notre Dame,"W, 101-59 "
3-11,North+Carolina,Virginia Tech,"W, 81-73 "
3-12,North+Carolina,Florida St.,"L, 69-66 "
3-19,North+Carolina,Wisconsin,"L, 85-62 "
11-25,Wisconsin,Eastern Illinois,"W, 77-67 "
11-27,Wisconsin,Arkansas Pine Bluff,"W, 92-58 "
12-01,Wisconsin,Green Bay,"W, 82-42 "
12-04,Wisconsin,Marquette,"L, 67-65 "
12-09,Wisconsin,Rhode Island,"W, 73-62 "
12-15,Wisconsin,Loyola Chicago,"W, 77-63 "
12-19,Wisconsin,Louisville,"W, 85-48 "
12-22,Wisconsin,Nebraska,"W, 67-53 "
12-25,Wisconsin,Michigan St.,"W, 85-76 "
12-28,Wisconsin,Maryland,"L, 70-64 "
12-31,Wisconsin,Minnesota,"W, 71-59 "
1-07,Wisconsin,Indiana,"W, 80-73 2OT"
1-12,Wisconsin,Michigan,"L, 77-54 "
1-15,Wisconsin,Rutgers,"W, 60-54 "
1-20,Wisconsin,Northwestern,"W, 68-52 "
1-23,Wisconsin,Ohio St.,"L, 74-62 "
1-27,Wisconsin,Maryland,"W, 61-55 "
1-30,Wisconsin,Penn St.,"L, 81-71 "
2-02,Wisconsin,Penn St.,"W, 72-56 "
2-06,Wisconsin,Illinois,"L, 75-60 "
2-10,Wisconsin,Nebraska,"W, 61-48 "
2-14,Wisconsin,Michigan,"L, 67-59 "
2-18,Wisconsin,Iowa,"L, 77-62 "
2-21,Wisconsin,Northwestern,"W, 68-51 "
2-27,Wisconsin,Illinois,"L, 74-69 "
3-02,Wisconsin,Purdue,"L, 73-69 "
3-07,Wisconsin,Iowa,"L, 77-73 "
3-11,Wisconsin,Penn St.,"W, 75-74 "
3-12,Wisconsin,Iowa,"L, 62-57 "
3-19,Wisconsin,North Carolina,"W, 85-62 "
3-21,Wisconsin,Baylor,"L, 76-63 "
11-25,Michigan,Bowling Green,"W, 96-82 "
11-29,Michigan,Oakland,"W, 81-71 OT"
12-02,Michigan,Ball St.,"W, 84-65 "
12-06,Michigan,UCF,"W, 80-58 "
12-09,Michigan,Toledo,"W, 91-71 "
12-13,Michigan,Penn St.,"W, 62-58 "
12-25,Michigan,Nebraska,"W, 80-69 "
12-31,Michigan,Maryland,"W, 84-73 "
1-03,Michigan,Northwestern,"W, 85-66 "
1-06,Michigan,Minnesota,"W, 82-57 "
1-12,Michigan,Wisconsin,"W, 77-54 "
1-16,Michigan,Minnesota,"L, 75-57 "
1-19,Michigan,Maryland,"W, 87-63 "
1-22,Michigan,Purdue,"W, 70-53 "
2-14,Michigan,Wisconsin,"W, 67-59 "
2-18,Michigan,Rutgers,"W, 71-64 "
2-21,Michigan,Ohio St.,"W, 92-87 "
2-25,Michigan,Iowa,"W, 79-57 "
2-27,Michigan,Indiana,"W, 73-57 "
3-02,Michigan,Illinois,"L, 76-53 "
3-04,Michigan,Michigan St.,"W, 69-50 "
3-07,Michigan,Michigan St.,"L, 70-64 "
3-12,Michigan,Maryland,"W, 79-66 "
3-13,Michigan,Ohio St.,"L, 68-67 "
3-20,Michigan,Texas Southern,"W, 82-66 "
3-22,Michigan,LSU,"W, 86-78 "
3-28,Michigan,Florida St.,"W, 76-58 "
3-30,Michigan,UCLA,"L, 51-49 "
11-25,Texas+Tech,Northwestern St.,"W, 101-58 "
11-27,Texas+Tech,Sam Houston St.,"W, 84-52 "
11-29,Texas+Tech,Houston,"L, 64-53 "
12-04,Texas+Tech,Troy,"W, 80-46 "
12-06,Texas+Tech,Grambling St.,"W, 81-40 "
12-09,Texas+Tech,Abilene Christian,"W, 51-44 "
12-12,Texas+Tech,Texas A&M Corpus Chris,"W, 77-57 "
12-17,Texas+Tech,Kansas,"L, 58-57 "
12-22,Texas+Tech,Oklahoma,"W, 69-67 "
12-29,Texas+Tech,Incarnate Word,"W, 79-51 "
1-02,Texas+Tech,Oklahoma St.,"L, 82-77 OT"
1-05,Texas+Tech,Kansas St.,"W, 82-71 "
1-09,Texas+Tech,Iowa St.,"W, 91-64 "
1-13,Texas+Tech,Texas,"W, 79-77 "
1-16,Texas+Tech,Baylor,"L, 68-60 "
1-25,Texas+Tech,West Virginia,"L, 88-87 "
1-30,Texas+Tech,LSU,"W, 76-71 "
2-01,Texas+Tech,Oklahoma,"W, 57-52 "
2-06,Texas+Tech,Kansas St.,"W, 73-62 "
2-09,Texas+Tech,West Virginia,"L, 82-71 "
2-20,Texas+Tech,Kansas,"L, 67-61 "
2-22,Texas+Tech,Oklahoma St.,"L, 74-69 OT"
2-27,Texas+Tech,Texas,"W, 68-59 "
3-02,Texas+Tech,TCU,"W, 69-49 "
3-04,Texas+Tech,Iowa St.,"W, 81-54 "
3-07,Texas+Tech,Baylor,"L, 88-73 "
3-11,Texas+Tech,Texas,"L, 67-66 "
3-19,Texas+Tech,Utah St.,"W, 65-53 "
3-21,Texas+Tech,Arkansas,"L, 68-66 "
11-26,Gonzaga,Kansas,"W, 102-90 "
11-27,Gonzaga,Auburn,"W, 90-67 "
12-02,Gonzaga,West Virginia,"W, 87-82 "
12-19,Gonzaga,Iowa,"W, 99-88 "
12-21,Gonzaga,Northwestern St.,"W, 95-57 "
12-22,Gonzaga,Northwestern St.,"W, 95-78 "
12-26,Gonzaga,Virginia,"W, 98-75 "
12-28,Gonzaga,Northern Arizona,"W, 88-58 "
12-29,Gonzaga,Dixie St.,"W, 112-67 "
1-02,Gonzaga,San Francisco,"W, 85-62 "
1-07,Gonzaga,BYU,"W, 86-69 "
1-09,Gonzaga,Portland,"W, 116-88 "
1-14,Gonzaga,Pepperdine,"W, 95-70 "
1-16,Gonzaga,Saint Mary's,"W, 73-59 "
1-23,Gonzaga,Pacific,"W, 95-49 "
1-28,Gonzaga,San Diego,"W, 90-62 "
1-30,Gonzaga,Pepperdine,"W, 97-75 "
2-04,Gonzaga,Pacific,"W, 76-58 "
2-08,Gonzaga,BYU,"W, 82-71 "
2-13,Gonzaga,San Francisco,"W, 100-61 "
2-18,Gonzaga,Saint Mary's,"W, 87-65 "
2-20,Gonzaga,San Diego,"W, 106-69 "
2-25,Gonzaga,Santa Clara,"W, 89-75 "
2-27,Gonzaga,Loyola Marymount,"W, 86-69 "
3-08,Gonzaga,Saint Mary's,"W, 78-55 "
3-09,Gonzaga,BYU,"W, 88-78 "
3-20,Gonzaga,Norfolk St.,"W, 98-55 "
3-22,Gonzaga,Oklahoma,"W, 87-71 "
3-28,Gonzaga,Creighton,"W, 83-65 "
3-30,Gonzaga,USC,"W, 85-66 "
4-03,Gonzaga,UCLA,"W, 93-90 OT"
4-05,Gonzaga,Baylor,"L, 86-70 "
11-28,Duke,Coppin St.,"W, 81-71 "
12-01,Duke,Michigan St.,"L, 75-69 "
12-04,Duke,Bellarmine,"W, 76-54 "
12-08,Duke,Illinois,"L, 83-68 "
12-16,Duke,Notre Dame,"W, 75-65 "
1-06,Duke,Boston College,"W, 83-82 "
1-09,Duke,Wake Forest,"W, 79-68 "
1-12,Duke,Virginia Tech,"L, 74-67 "
1-19,Duke,Pittsburgh,"L, 79-73 "
1-23,Duke,Louisville,"L, 70-65 "
1-26,Duke,Georgia Tech,"W, 75-68 "
1-30,Duke,Clemson,"W, 79-53 "
2-01,Duke,Miami FL,"L, 77-75 "
2-06,Duke,North Carolina,"L, 91-87 "
2-09,Duke,Notre Dame,"L, 93-89 "
2-13,Duke,North Carolina St.,"W, 69-53 "
2-17,Duke,Wake Forest,"W, 84-60 "
2-20,Duke,Virginia,"W, 66-65 "
2-22,Duke,Syracuse,"W, 85-71 "
2-27,Duke,Louisville,"L, 80-73 OT"
3-02,Duke,Georgia Tech,"L, 81-77 OT"
3-06,Duke,North Carolina,"L, 91-73 "
3-09,Duke,Boston College,"W, 86-51 "
3-10,Duke,Louisville,"W, 70-56 "
11-25,Virginia,Towson,"W, 89-54 "
11-27,Virginia,San Francisco,"L, 61-60 "
12-01,Virginia,St. Francis PA,"W, 76-51 "
12-04,Virginia,Kent St.,"W, 71-64 OT"
12-22,Virginia,William & Mary,"W, 76-40 "
12-26,Virginia,Gonzaga,"L, 98-75 "
12-30,Virginia,Notre Dame,"W, 66-57 "
1-06,Virginia,Wake Forest,"W, 70-61 "
1-09,Virginia,Boston College,"W, 61-49 "
1-13,Virginia,Notre Dame,"W, 80-68 "
1-16,Virginia,Clemson,"W, 85-50 "
1-23,Virginia,Georgia Tech,"W, 64-62 "
1-25,Virginia,Syracuse,"W, 81-58 "
1-30,Virginia,Virginia Tech,"L, 65-51 "
2-03,Virginia,North Carolina St.,"W, 64-57 "
2-06,Virginia,Pittsburgh,"W, 73-66 "
2-10,Virginia,Georgia Tech,"W, 57-49 "
2-13,Virginia,North Carolina,"W, 60-48 "
2-15,Virginia,Florida St.,"L, 81-60 "
2-20,Virginia,Duke,"L, 66-65 "
2-24,Virginia,North Carolina St.,"L, 68-61 "
3-01,Virginia,Miami FL,"W, 62-51 "
3-06,Virginia,Louisville,"W, 68-58 "
3-11,Virginia,Syracuse,"W, 72-69 "
3-20,Virginia,Ohio,"L, 62-58 "
11-25,Villanova,Boston College,"W, 76-67 "
11-26,Villanova,Arizona St.,"W, 83-74 "
11-28,Villanova,Virginia Tech,"L, 81-73 OT"
12-01,Villanova,Hartford,"W, 87-53 "
12-06,Villanova,Texas,"W, 68-64 "
12-11,Villanova,Georgetown,"W, 76-63 "
12-16,Villanova,Butler,"W, 85-66 "
12-19,Villanova,Saint Joseph's,"W, 88-68 "
12-23,Villanova,Marquette,"W, 85-68 "
1-19,Villanova,Seton Hall,"W, 76-74 "
1-23,Villanova,Providence,"W, 71-56 "
1-30,Villanova,Seton Hall,"W, 80-72 "
2-03,Villanova,St. John's,"L, 70-59 "
2-07,Villanova,Georgetown,"W, 84-74 "
2-10,Villanova,Marquette,"W, 96-64 "
2-13,Villanova,Creighton,"L, 86-70 "
2-20,Villanova,Connecticut,"W, 68-60 "
2-23,Villanova,St. John's,"W, 81-58 "
2-28,Villanova,Butler,"L, 73-61 "
3-03,Villanova,Creighton,"W, 72-60 "
3-06,Villanova,Providence,"L, 54-52 "
3-11,Villanova,Georgetown,"L, 72-71 "
3-19,Villanova,Winthrop,"W, 73-63 "
3-21,Villanova,North Texas,"W, 84-61 "
3-27,Villanova,Baylor,"L, 62-51 "
11-25,Louisville,Evansville,"W, 79-44 "
11-27,Louisville,Seton Hall,"W, 71-70 "
11-29,Louisville,Prairie View A&M,"W, 86-64 "
12-01,Louisville,Western Kentucky,"W, 75-54 "
12-19,Louisville,Wisconsin,"L, 85-48 "
12-22,Louisville,Pittsburgh,"W, 64-54 "
12-26,Louisville,Kentucky,"W, 62-59 "
1-02,Louisville,Boston College,"W, 76-64 "
1-06,Louisville,Virginia Tech,"W, 73-71 "
1-13,Louisville,Wake Forest,"W, 77-65 "
1-16,Louisville,Miami FL,"L, 78-72 "
1-18,Louisville,Florida St.,"L, 78-65 "
1-23,Louisville,Duke,"W, 70-65 "
1-27,Louisville,Clemson,"L, 54-50 "
2-01,Louisville,Georgia Tech,"W, 74-58 "
2-20,Louisville,North Carolina,"L, 99-54 "
2-23,Louisville,Notre Dame,"W, 69-57 "
2-27,Louisville,Duke,"W, 80-73 OT"
3-06,Louisville,Virginia,"L, 68-58 "
3-10,Louisville,Duke,"L, 70-56 "
11-28,Notre+Dame,Michigan St.,"L, 80-70 "
12-06,Notre+Dame,Detroit,"W, 78-70 "
12-08,Notre+Dame,Ohio St.,"L, 90-85 "
12-12,Notre+Dame,Kentucky,"W, 64-63 "
12-16,Notre+Dame,Duke,"L, 75-65 "
12-19,Notre+Dame,Purdue,"L, 88-78 "
12-23,Notre+Dame,Bellarmine,"W, 81-70 "
12-30,Notre+Dame,Virginia,"L, 66-57 "
1-02,Notre+Dame,North Carolina,"L, 66-65 "
1-10,Notre+Dame,Virginia Tech,"L, 77-63 "
1-13,Notre+Dame,Virginia,"L, 80-68 "
1-16,Notre+Dame,Boston College,"W, 80-70 "
1-24,Notre+Dame,Miami FL,"W, 73-59 "
1-27,Notre+Dame,Virginia Tech,"L, 62-51 "
1-30,Notre+Dame,Pittsburgh,"W, 84-58 "
2-02,Notre+Dame,Wake Forest,"W, 79-58 "
2-06,Notre+Dame,Georgia Tech,"L, 82-80 "
2-09,Notre+Dame,Duke,"W, 93-89 "
2-14,Notre+Dame,Miami FL,"W, 71-61 "
2-20,Notre+Dame,Syracuse,"L, 75-67 "
2-23,Notre+Dame,Louisville,"L, 69-57 "
2-27,Notre+Dame,Boston College,"L, 94-90 "
3-03,Notre+Dame,North Carolina St.,"L, 80-69 "
3-06,Notre+Dame,Florida St.,"W, 83-73 "
3-09,Notre+Dame,Wake Forest,"W, 80-77 "
3-10,Notre+Dame,North Carolina,"L, 101-59 "
12-02,Florida+St.,North Florida,"W, 86-58 "
12-09,Florida+St.,Indiana,"W, 69-67 OT"
12-12,Florida+St.,Florida,"W, 83-71 "
12-15,Florida+St.,Georgia Tech,"W, 74-61 "
12-19,Florida+St.,UCF,"L, 86-74 "
12-21,Florida+St.,Gardner Webb,"W, 72-59 "
12-29,Florida+St.,Clemson,"L, 77-67 "
1-13,Florida+St.,North Carolina St.,"W, 105-73 "
1-16,Florida+St.,North Carolina,"W, 82-75 "
1-18,Florida+St.,Louisville,"W, 78-65 "
1-23,Florida+St.,Clemson,"W, 80-61 "
1-27,Florida+St.,Miami FL,"W, 81-59 "
1-30,Florida+St.,Georgia Tech,"L, 76-65 "
2-13,Florida+St.,Wake Forest,"W, 92-85 OT"
2-15,Florida+St.,Virginia,"W, 81-60 "
2-20,Florida+St.,Pittsburgh,"W, 79-72 "
2-24,Florida+St.,Miami FL,"W, 88-71 "
2-27,Florida+St.,North Carolina,"L, 78-70 "
3-03,Florida+St.,Boston College,"W, 93-64 "
3-06,Florida+St.,Notre Dame,"L, 83-73 "
3-12,Florida+St.,North Carolina,"W, 69-66 "
3-13,Florida+St.,Georgia Tech,"L, 80-75 "
3-20,Florida+St.,UNC Greensboro,"W, 64-54 "
3-22,Florida+St.,Colorado,"W, 71-53 "
3-28,Florida+St.,Michigan,"L, 76-58 "
11-25,Purdue,Liberty,"W, 77-64 "
11-26,Purdue,Clemson,"L, 81-70 "
12-01,Purdue,Oakland,"W, 93-50 "
12-04,Purdue,Valparaiso,"W, 68-61 "
12-08,Purdue,Miami FL,"L, 58-54 "
12-12,Purdue,Indiana St.,"W, 80-68 "
12-16,Purdue,Ohio St.,"W, 67-60 "
12-19,Purdue,Notre Dame,"W, 88-78 "
12-22,Purdue,Iowa,"L, 70-55 "
12-25,Purdue,Maryland,"W, 73-70 "
12-29,Purdue,Rutgers,"L, 81-76 "
1-02,Purdue,Illinois,"L, 66-58 "
1-08,Purdue,Michigan St.,"W, 55-54 "
1-14,Purdue,Indiana,"W, 81-69 "
1-17,Purdue,Penn St.,"W, 80-72 "
1-19,Purdue,Ohio St.,"W, 67-65 "
1-22,Purdue,Michigan,"L, 70-53 "
1-30,Purdue,Minnesota,"W, 81-62 "
2-02,Purdue,Maryland,"L, 61-60 "
2-06,Purdue,Northwestern,"W, 75-70 "
2-11,Purdue,Minnesota,"L, 71-68 "
2-16,Purdue,Michigan St.,"W, 75-65 "
2-20,Purdue,Nebraska,"W, 75-58 "
2-26,Purdue,Penn St.,"W, 73-52 "
3-02,Purdue,Wisconsin,"W, 73-69 "
3-06,Purdue,Indiana,"W, 67-58 "
3-12,Purdue,Ohio St.,"L, 87-78 OT"
3-19,Purdue,North Texas,"L, 78-69 OT"
11-26,Kansas,Gonzaga,"L, 102-90 "
11-27,Kansas,Saint Joseph's,"W, 94-72 "
12-01,Kansas,Kentucky,"W, 65-62 "
12-03,Kansas,Washburn,"W, 89-54 "
12-05,Kansas,North Dakota St.,"W, 65-61 "
12-08,Kansas,Creighton,"W, 73-72 "
12-11,Kansas,Nebraska Omaha,"W, 95-50 "
12-17,Kansas,Texas Tech,"W, 58-57 "
12-22,Kansas,West Virginia,"W, 79-65 "
1-02,Kansas,Texas,"L, 84-59 "
1-05,Kansas,TCU,"W, 93-64 "
1-09,Kansas,Oklahoma,"W, 63-59 "
1-12,Kansas,Oklahoma St.,"L, 75-70 "
1-18,Kansas,Baylor,"L, 77-69 "
1-23,Kansas,Oklahoma,"L, 75-68 "
1-28,Kansas,TCU,"W, 59-51 "
1-30,Kansas,Tennessee,"L, 80-61 "
2-02,Kansas,Kansas St.,"W, 74-51 "
2-06,Kansas,West Virginia,"L, 91-79 "
2-08,Kansas,Oklahoma St.,"W, 78-66 "
2-11,Kansas,Iowa St.,"W, 97-64 "
2-13,Kansas,Iowa St.,"W, 64-50 "
2-17,Kansas,Kansas St.,"W, 59-41 "
2-20,Kansas,Texas Tech,"W, 67-61 "
2-23,Kansas,Texas,"L, 75-72 OT"
2-27,Kansas,Baylor,"W, 71-58 "
3-04,Kansas,UTEP,"W, 67-62 "
3-11,Kansas,Oklahoma,"W, 69-62 "
3-20,Kansas,Eastern Washington,"W, 93-84 "
3-22,Kansas,USC,"L, 85-51 "
11-25,Kansas+St.,Drake,"L, 80-70 "
11-27,Kansas+St.,Colorado,"L, 76-58 "
11-30,Kansas+St.,UMKC,"W, 62-58 "
12-05,Kansas+St.,UNLV,"L, 68-58 "
12-08,Kansas+St.,Fort Hays St.,"L, 81-68 "
12-11,Kansas+St.,Milwaukee,"W, 76-75 "
12-15,Kansas+St.,Iowa St.,"W, 74-65 "
12-19,Kansas+St.,Baylor,"L, 100-69 "
12-21,Kansas+St.,Jacksonville,"W, 70-46 "
12-29,Kansas+St.,Nebraska Omaha,"W, 60-58 "
1-02,Kansas+St.,TCU,"L, 67-60 "
1-05,Kansas+St.,Texas Tech,"L, 82-71 "
1-09,Kansas+St.,Oklahoma St.,"L, 70-54 "
1-16,Kansas+St.,Texas,"L, 82-67 "
1-19,Kansas+St.,Oklahoma,"L, 76-50 "
1-23,Kansas+St.,West Virginia,"L, 69-47 "
1-27,Kansas+St.,Baylor,"L, 107-59 "
1-30,Kansas+St.,Texas A&M,"L, 68-61 "
2-02,Kansas+St.,Kansas,"L, 74-51 "
2-06,Kansas+St.,Texas Tech,"L, 73-62 "
2-09,Kansas+St.,Texas,"L, 80-77 "
2-13,Kansas+St.,Oklahoma St.,"L, 67-60 "
2-17,Kansas+St.,Kansas,"L, 59-41 "
2-20,Kansas+St.,TCU,"W, 62-54 "
2-23,Kansas+St.,Oklahoma,"W, 62-57 "
2-27,Kansas+St.,West Virginia,"L, 65-43 "
3-06,Kansas+St.,Iowa St.,"W, 61-56 "
3-10,Kansas+St.,TCU,"W, 71-50 "
3-11,Kansas+St.,Baylor,"L, 74-68 "
11-25,Xavier,Oakland,"W, 101-49 "
11-26,Xavier,Bradley,"W, 51-50 "
11-27,Xavier,Toledo,"W, 76-73 "
11-30,Xavier,Eastern Kentucky,"W, 99-96 OT"
12-02,Xavier,Tennessee Tech,"W, 79-48 "
12-06,Xavier,Cincinnati,"W, 77-69 "
12-09,Xavier,Oklahoma,"W, 99-77 "
12-20,Xavier,Marquette,"W, 91-88 "
12-23,Xavier,Creighton,"L, 66-61 "
12-30,Xavier,Seton Hall,"L, 85-68 "
1-06,Xavier,St. John's,"W, 69-61 "
1-10,Xavier,Providence,"W, 74-73 "
1-30,Xavier,Butler,"W, 68-55 "
2-13,Xavier,Connecticut,"L, 80-72 "
2-16,Xavier,St. John's,"L, 93-84 "
2-21,Xavier,Butler,"W, 63-51 "
2-24,Xavier,Providence,"L, 83-68 "
2-27,Xavier,Creighton,"W, 77-69 "
3-02,Xavier,Georgetown,"L, 72-66 "
3-06,Xavier,Marquette,"L, 66-59 "
3-10,Xavier,Butler,"L, 70-69 OT"
11-27,Arizona,Grambling St.,"W, 74-55 "
12-05,Arizona,Eastern Washington,"W, 70-67 "
12-07,Arizona,Northern Arizona,"W, 96-53 "
12-09,Arizona,Cal St. Bakersfield,"W, 85-60 "
12-12,Arizona,UTEP,"W, 69-61 "
12-19,Arizona,Stanford,"L, 78-75 "
12-22,Arizona,Montana,"W, 70-64 "
12-28,Arizona,Colorado,"W, 88-74 "
12-31,Arizona,Washington,"W, 80-53 "
1-02,Arizona,Washington St.,"W, 86-82 2OT"
1-07,Arizona,USC,"L, 87-73 "
1-09,Arizona,UCLA,"L, 81-76 "
1-14,Arizona,Oregon St.,"W, 98-64 "
1-21,Arizona,Arizona St.,"W, 84-82 "
1-25,Arizona,Arizona St.,"W, 80-67 "
1-28,Arizona,Stanford,"L, 73-64 "
1-30,Arizona,California,"W, 71-50 "
2-04,Arizona,Utah,"L, 73-58 "
2-06,Arizona,Colorado,"L, 82-79 "
2-11,Arizona,Oregon St.,"W, 70-61 "
2-13,Arizona,Oregon,"L, 63-61 "
2-18,Arizona,UCLA,"L, 74-60 "
2-20,Arizona,USC,"W, 81-72 "
2-25,Arizona,Washington St.,"W, 69-53 "
2-27,Arizona,Washington,"W, 75-74 "
3-01,Arizona,Oregon,"L, 80-69 "
12-02,Oregon,Missouri,"L, 83-75 "
12-04,Oregon,Seton Hall,"W, 83-70 "
12-07,Oregon,Eastern Washington,"W, 69-52 "
12-09,Oregon,Florida A&M,"W, 87-66 "
12-12,Oregon,Washington,"W, 74-71 "
12-17,Oregon,San Francisco,"W, 74-64 "
12-19,Oregon,Portland,"W, 80-41 "
12-31,Oregon,California,"W, 82-69 "
1-02,Oregon,Stanford,"W, 73-56 "
1-07,Oregon,Colorado,"L, 79-72 "
1-09,Oregon,Utah,"W, 79-73 "
1-23,Oregon,Oregon St.,"L, 75-64 "
2-04,Oregon,Washington St.,"L, 74-71 "
2-06,Oregon,Washington,"W, 86-74 "
2-11,Oregon,Arizona St.,"W, 75-64 "
2-13,Oregon,Arizona,"W, 63-61 "
2-18,Oregon,Colorado,"W, 60-56 "
2-20,Oregon,Utah,"W, 67-64 "
2-22,Oregon,USC,"L, 72-58 "
2-25,Oregon,Stanford,"W, 71-68 "
2-27,Oregon,California,"W, 74-63 "
3-01,Oregon,Arizona,"W, 80-69 "
3-03,Oregon,UCLA,"W, 82-74 "
3-07,Oregon,Oregon St.,"W, 80-67 "
3-11,Oregon,Arizona St.,"W, 91-73 "
3-12,Oregon,Oregon St.,"L, 75-64 "
3-22,Oregon,Iowa,"W, 95-80 "
3-28,Oregon,USC,"L, 82-68 "
12-02,Florida,Army,"W, 76-69 "
12-03,Florida,Boston College,"W, 90-70 "
12-06,Florida,Stetson,"W, 86-40 "
12-12,Florida,Florida St.,"L, 83-71 "
12-30,Florida,Vanderbilt,"W, 91-72 "
1-02,Florida,LSU,"W, 83-79 "
1-05,Florida,Alabama,"L, 86-71 "
1-09,Florida,Kentucky,"L, 76-58 "
1-12,Florida,Mississippi,"W, 72-63 "
1-16,Florida,Mississippi St.,"L, 72-69 "
1-19,Florida,Tennessee,"W, 75-49 "
1-23,Florida,Georgia,"W, 92-84 "
1-27,Florida,Vanderbilt,"W, 78-71 "
1-30,Florida,West Virginia,"W, 85-80 "
2-03,Florida,South Carolina,"L, 72-66 "
2-16,Florida,Arkansas,"L, 75-64 "
2-20,Florida,Georgia,"W, 70-63 "
2-23,Florida,Auburn,"W, 74-57 "
2-27,Florida,Kentucky,"W, 71-67 "
3-03,Florida,Missouri,"L, 72-70 "
3-07,Florida,Tennessee,"L, 65-54 "
3-11,Florida,Vanderbilt,"W, 69-63 "
3-12,Florida,Tennessee,"L, 78-66 "
3-19,Florida,Virginia Tech,"W, 75-70 OT"
3-21,Florida,Oral Roberts,"L, 81-78 "
11-25,Kentucky,Morehead St.,"W, 81-45 "
11-29,Kentucky,Richmond,"L, 76-64 "
12-01,Kentucky,Kansas,"L, 65-62 "
12-06,Kentucky,Georgia Tech,"L, 79-62 "
12-12,Kentucky,Notre Dame,"L, 64-63 "
12-19,Kentucky,North Carolina,"L, 75-63 "
12-26,Kentucky,Louisville,"L, 62-59 "
1-02,Kentucky,Mississippi St.,"W, 78-73 2OT"
1-05,Kentucky,Vanderbilt,"W, 77-74 "
1-09,Kentucky,Florida,"W, 76-58 "
1-12,Kentucky,Alabama,"L, 85-65 "
1-16,Kentucky,Auburn,"L, 66-59 "
1-20,Kentucky,Georgia,"L, 63-62 "
1-23,Kentucky,LSU,"W, 82-69 "
1-26,Kentucky,Alabama,"L, 70-59 "
2-03,Kentucky,Missouri,"L, 75-70 "
2-06,Kentucky,Tennessee,"L, 82-71 "
2-09,Kentucky,Arkansas,"L, 81-80 "
2-13,Kentucky,Auburn,"W, 82-80 "
2-17,Kentucky,Vanderbilt,"W, 82-78 "
2-20,Kentucky,Tennessee,"W, 70-55 "
2-27,Kentucky,Florida,"L, 71-67 "
3-02,Kentucky,Mississippi,"L, 70-62 "
3-06,Kentucky,South Carolina,"W, 92-64 "
3-11,Kentucky,Mississippi St.,"L, 74-73 "
11-27,Syracuse,Bryant,"W, 85-84 "
12-03,Syracuse,Niagara,"W, 75-45 "
12-05,Syracuse,Rider,"W, 87-52 "
12-08,Syracuse,Rutgers,"L, 79-69 "
12-12,Syracuse,Boston College,"W, 101-63 "
12-16,Syracuse,Northeastern,"W, 62-56 "
12-19,Syracuse,Buffalo,"W, 107-96 OT"
1-06,Syracuse,Pittsburgh,"L, 63-60 "
1-09,Syracuse,Georgetown,"W, 74-69 "
1-12,Syracuse,North Carolina,"L, 81-75 "
1-16,Syracuse,Pittsburgh,"L, 96-76 "
1-19,Syracuse,Miami FL,"W, 83-57 "
1-23,Syracuse,Virginia Tech,"W, 78-60 "
1-25,Syracuse,Virginia,"L, 81-58 "
1-31,Syracuse,North Carolina St.,"W, 76-73 "
2-06,Syracuse,Clemson,"L, 78-61 "
2-09,Syracuse,North Carolina St.,"W, 77-68 "
2-13,Syracuse,Boston College,"W, 75-67 "
2-20,Syracuse,Notre Dame,"W, 75-67 "
2-22,Syracuse,Duke,"L, 85-71 "
2-27,Syracuse,Georgia Tech,"L, 84-77 "
3-01,Syracuse,North Carolina,"W, 72-70 "
3-03,Syracuse,Clemson,"W, 64-54 "
3-10,Syracuse,North Carolina St.,"W, 89-68 "
3-11,Syracuse,Virginia,"L, 72-69 "
3-19,Syracuse,San Diego St.,"W, 78-62 "
3-21,Syracuse,West Virginia,"W, 75-72 "
3-27,Syracuse,Houston,"L, 62-46 "
11-25,Michigan+St.,Eastern Michigan,"W, 83-67 "
11-28,Michigan+St.,Notre Dame,"W, 80-70 "
12-01,Michigan+St.,Duke,"W, 75-69 "
