date,team,opponent,result
2-08,Wisconsin,Michigan St.,"W, 70-62 "
2-12,Wisconsin,Rutgers,"L, 73-65 "
2-15,Wisconsin,Indiana,"W, 74-69 "
2-20,Wisconsin,Michigan,"W, 77-63 "
2-23,Wisconsin,Minnesota,"W, 68-67 "
2-26,Wisconsin,Rutgers,"W, 66-61 "
3-01,Wisconsin,Purdue,"W, 70-67 "
3-06,Wisconsin,Nebraska,"L, 74-73 "
3-11,Wisconsin,Michigan St.,"L, 69-63 "
3-18,Wisconsin,Colgate,"-8.9, 74-6581%"
11-10,Michigan,Buffalo,"W, 88-76 "
11-13,Michigan,Prairie View A&M,"W, 77-49 "
11-16,Michigan,Seton Hall,"L, 67-65 "
11-19,Michigan,UNLV,"W, 74-61 "
11-21,Michigan,Arizona,"L, 80-62 "
11-24,Michigan,Tarleton St.,"W, 65-54 "
12-01,Michigan,North Carolina,"L, 72-51 "
12-04,Michigan,San Diego St.,"W, 72-58 "
12-07,Michigan,Nebraska,"W, 102-67 "
12-11,Michigan,Minnesota,"L, 75-65 "
12-18,Michigan,Southern Utah,"W, 87-50 "
12-30,Michigan,UCF,"L, 85-71 "
1-04,Michigan,Rutgers,"L, 75-67 "
1-14,Michigan,Illinois,"L, 68-53 "
1-18,Michigan,Maryland,"W, 83-64 "
1-23,Michigan,Indiana,"W, 80-62 "
1-26,Michigan,Northwestern,"W, 72-70 "
1-29,Michigan,Michigan St.,"L, 83-67 "
2-01,Michigan,Nebraska,"W, 85-79 "
2-05,Michigan,Purdue,"L, 82-76 "
2-08,Michigan,Penn St.,"W, 58-57 "
2-10,Michigan,Purdue,"W, 82-58 "
2-12,Michigan,Ohio St.,"L, 68-57 "
2-17,Michigan,Iowa,"W, 84-79 "
2-20,Michigan,Wisconsin,"L, 77-63 "
2-23,Michigan,Rutgers,"W, 71-62 "
2-27,Michigan,Illinois,"L, 93-85 "
3-01,Michigan,Michigan St.,"W, 87-70 "
3-03,Michigan,Iowa,"L, 82-71 "
3-06,Michigan,Ohio St.,"W, 75-69 "
3-10,Michigan,Indiana,"L, 74-69 "
3-17,Michigan,Colorado St.,"-2.0, 71-6958%"
11-09,Texas+Tech,North Florida,"W, 89-74 "
11-12,Texas+Tech,Grambling St.,"W, 88-62 "
11-15,Texas+Tech,Prairie View A&M,"W, 84-49 "
11-20,Texas+Tech,Incarnate Word,"W, 84-62 "
11-23,Texas+Tech,Nebraska Omaha,"W, 96-40 "
11-27,Texas+Tech,Lamar,"W, 89-57 "
12-01,Texas+Tech,Providence,"L, 72-68 "
12-07,Texas+Tech,Tennessee,"W, 57-52 OT"
12-14,Texas+Tech,Arkansas St.,"W, 75-62 "
12-18,Texas+Tech,Gonzaga,"L, 69-55 "
12-22,Texas+Tech,Eastern Washington,"W, 78-46 "
12-28,Texas+Tech,Alabama St.,"W, 75-53 "
1-05,Texas+Tech,Iowa St.,"L, 51-47 "
1-08,Texas+Tech,Kansas,"W, 75-67 "
1-11,Texas+Tech,Baylor,"W, 65-62 "
1-13,Texas+Tech,Oklahoma St.,"W, 78-57 "
1-15,Texas+Tech,Kansas St.,"L, 62-51 "
1-18,Texas+Tech,Iowa St.,"W, 72-60 "
1-22,Texas+Tech,West Virginia,"W, 78-65 "
1-24,Texas+Tech,Kansas,"L, 94-91 2OT"
1-29,Texas+Tech,Mississippi St.,"W, 76-50 "
2-01,Texas+Tech,Texas,"W, 77-64 "
2-05,Texas+Tech,West Virginia,"W, 60-53 "
2-09,Texas+Tech,Oklahoma,"L, 70-55 "
2-12,Texas+Tech,TCU,"W, 82-69 "
2-16,Texas+Tech,Baylor,"W, 83-73 "
2-19,Texas+Tech,Texas,"W, 61-55 "
2-22,Texas+Tech,Oklahoma,"W, 66-42 "
2-26,Texas+Tech,TCU,"L, 69-66 "
2-28,Texas+Tech,Kansas St.,"W, 73-68 "
3-05,Texas+Tech,Oklahoma St.,"L, 52-51 "
3-10,Texas+Tech,Iowa St.,"W, 72-41 "
3-11,Texas+Tech,Oklahoma,"W, 56-55 "
3-12,Texas+Tech,Kansas,"L, 74-65 "
3-18,Texas+Tech,Montana St.,"-14.0, 71-5793%"
11-09,Gonzaga,Dixie St.,"W, 97-63 "
11-13,Gonzaga,Texas,"W, 86-74 "
11-15,Gonzaga,Alcorn St.,"W, 84-57 "
11-19,Gonzaga,Bellarmine,"W, 92-50 "
11-22,Gonzaga,Central Michigan,"W, 107-54 "
11-23,Gonzaga,UCLA,"W, 83-63 "
11-26,Gonzaga,Duke,"L, 84-81 "
11-29,Gonzaga,Tarleton St.,"W, 64-55 "
12-04,Gonzaga,Alabama,"L, 91-82 "
12-09,Gonzaga,Merrimack,"W, 80-55 "
12-18,Gonzaga,Texas Tech,"W, 69-55 "
12-20,Gonzaga,Northern Arizona,"W, 95-49 "
12-28,Gonzaga,North Alabama,"W, 93-63 "
1-08,Gonzaga,Pepperdine,"W, 117-83 "
1-13,Gonzaga,BYU,"W, 110-84 "
1-15,Gonzaga,Santa Clara,"W, 115-83 "
1-20,Gonzaga,San Francisco,"W, 78-62 "
1-27,Gonzaga,Loyola Marymount,"W, 89-55 "
1-29,Gonzaga,Portland,"W, 104-72 "
2-03,Gonzaga,San Diego,"W, 92-62 "
2-05,Gonzaga,BYU,"W, 90-57 "
2-10,Gonzaga,Pacific,"W, 89-51 "
2-12,Gonzaga,Saint Mary's,"W, 74-58 "
2-16,Gonzaga,Pepperdine,"W, 86-66 "
2-19,Gonzaga,Santa Clara,"W, 81-69 "
2-24,Gonzaga,San Francisco,"W, 89-73 "
2-26,Gonzaga,Saint Mary's,"L, 67-57 "
3-07,Gonzaga,San Francisco,"W, 81-71 "
3-08,Gonzaga,Saint Mary's,"W, 82-69 "
3-17,Gonzaga,Georgia St.,"-21.2, 85-6396%"
11-09,Duke,Kentucky,"W, 79-71 "
11-12,Duke,Army,"W, 82-56 "
11-13,Duke,Campbell,"W, 67-56 "
11-16,Duke,Gardner Webb,"W, 92-52 "
11-19,Duke,Lafayette,"W, 88-55 "
11-22,Duke,The Citadel,"W, 107-81 "
11-26,Duke,Gonzaga,"W, 84-81 "
11-30,Duke,Ohio St.,"L, 71-66 "
12-14,Duke,South Carolina St.,"W, 103-62 "
12-16,Duke,Appalachian St.,"W, 92-67 "
12-18,Duke,Elon,"W, 87-56 "
12-22,Duke,Virginia Tech,"W, 76-65 "
1-04,Duke,Georgia Tech,"W, 69-57 "
1-08,Duke,Miami FL,"L, 76-74 "
1-12,Duke,Wake Forest,"W, 76-64 "
1-15,Duke,North Carolina St.,"W, 88-73 "
1-18,Duke,Florida St.,"L, 79-78 OT"
1-22,Duke,Syracuse,"W, 79-59 "
1-25,Duke,Clemson,"W, 71-69 "
1-29,Duke,Louisville,"W, 74-65 "
1-31,Duke,Notre Dame,"W, 57-43 "
2-05,Duke,North Carolina,"W, 87-67 "
2-07,Duke,Virginia,"L, 69-68 "
2-10,Duke,Clemson,"W, 82-64 "
2-12,Duke,Boston College,"W, 72-61 "
2-15,Duke,Wake Forest,"W, 76-74 "
2-19,Duke,Florida St.,"W, 88-70 "
2-23,Duke,Virginia,"W, 65-61 "
2-26,Duke,Syracuse,"W, 97-72 "
3-01,Duke,Pittsburgh,"W, 86-56 "
3-05,Duke,North Carolina,"L, 94-81 "
3-10,Duke,Syracuse,"W, 88-79 "
3-11,Duke,Miami FL,"W, 80-76 "
3-12,Duke,Virginia Tech,"L, 82-67 "
3-18,Duke,Cal St. Fullerton,"-17.2, 80-6394%"
11-09,Virginia,Navy,"L, 66-58 "
11-12,Virginia,Radford,"W, 73-52 "
11-16,Virginia,Houston,"L, 67-47 "
11-19,Virginia,Coppin St.,"W, 68-52 "
11-22,Virginia,Georgia,"W, 65-55 "
11-23,Virginia,Providence,"W, 58-40 "
11-26,Virginia,Lehigh,"W, 61-43 "
11-29,Virginia,Iowa,"L, 75-74 "
12-03,Virginia,Pittsburgh,"W, 57-56 "
12-07,Virginia,James Madison,"L, 52-49 "
12-18,Virginia,Fairleigh Dickinson,"W, 82-49 "
12-22,Virginia,Clemson,"L, 67-50 "
1-01,Virginia,Syracuse,"W, 74-69 "
1-04,Virginia,Clemson,"W, 75-65 "
1-08,Virginia,North Carolina,"L, 74-58 "
1-12,Virginia,Virginia Tech,"W, 54-52 "
1-15,Virginia,Wake Forest,"L, 63-55 "
1-19,Virginia,Pittsburgh,"W, 66-61 "
1-22,Virginia,North Carolina St.,"L, 77-63 "
1-24,Virginia,Louisville,"W, 64-52 "
1-29,Virginia,Notre Dame,"L, 69-65 "
2-01,Virginia,Boston College,"W, 67-55 "
2-05,Virginia,Miami FL,"W, 71-58 "
2-07,Virginia,Duke,"W, 69-68 "
2-12,Virginia,Georgia Tech,"W, 63-53 "
2-14,Virginia,Virginia Tech,"L, 62-53 "
2-19,Virginia,Miami FL,"W, 74-71 "
2-23,Virginia,Duke,"L, 65-61 "
2-26,Virginia,Florida St.,"L, 64-63 "
3-05,Virginia,Louisville,"W, 71-61 "
3-09,Virginia,Louisville,"W, 51-50 "
3-10,Virginia,North Carolina,"L, 63-43 "
3-16,Virginia,Mississippi St.,"-2.1, 61-5960%"
11-09,Villanova,Mount St. Mary's,"W, 91-51 "
11-12,Villanova,UCLA,"L, 86-77 OT"
11-16,Villanova,Howard,"W, 100-81 "
11-20,Villanova,Tennessee,"W, 71-53 "
11-21,Villanova,Purdue,"L, 80-74 "
11-28,Villanova,La Salle,"W, 72-46 "
12-01,Villanova,Penn,"W, 71-56 "
12-04,Villanova,Saint Joseph's,"W, 81-52 "
12-07,Villanova,Syracuse,"W, 67-53 "
12-12,Villanova,Baylor,"L, 57-36 "
12-17,Villanova,Creighton,"L, 79-59 "
12-21,Villanova,Xavier,"W, 71-58 "
1-01,Villanova,Seton Hall,"W, 73-67 "
1-05,Villanova,Creighton,"W, 75-41 "
1-08,Villanova,DePaul,"W, 79-64 "
1-12,Villanova,Xavier,"W, 64-60 "
1-16,Villanova,Butler,"W, 82-42 "
1-19,Villanova,Marquette,"L, 57-54 "
1-22,Villanova,Georgetown,"W, 85-74 "
1-25,Villanova,DePaul,"W, 67-43 "
1-29,Villanova,St. John's,"W, 73-62 "
2-02,Villanova,Marquette,"L, 83-73 "
2-05,Villanova,Connecticut,"W, 85-74 "
2-08,Villanova,St. John's,"W, 75-69 "
2-12,Villanova,Seton Hall,"W, 73-67 "
2-15,Villanova,Providence,"W, 89-84 "
2-19,Villanova,Georgetown,"W, 74-66 "
2-22,Villanova,Connecticut,"L, 71-69 "
3-01,Villanova,Providence,"W, 76-74 "
3-05,Villanova,Butler,"W, 78-59 "
3-10,Villanova,St. John's,"W, 66-65 "
3-11,Villanova,Connecticut,"W, 63-60 "
3-12,Villanova,Creighton,"W, 54-48 "
3-18,Villanova,Delaware,"-13.3, 74-6091%"
11-09,Louisville,Southern,"W, 72-60 "
11-12,Louisville,Furman,"L, 80-72 OT"
11-15,Louisville,Navy,"W, 77-60 "
11-20,Louisville,Detroit,"W, 73-67 "
11-25,Louisville,Mississippi St.,"W, 72-58 "
11-27,Louisville,Maryland,"W, 63-55 "
12-01,Louisville,Michigan St.,"L, 73-64 "
12-04,Louisville,North Carolina St.,"W, 73-68 "
12-10,Louisville,DePaul,"L, 62-55 "
12-14,Louisville,Southeastern Louisiana,"W, 86-60 "
12-18,Louisville,Western Kentucky,"L, 82-72 "
12-29,Louisville,Wake Forest,"W, 73-69 "
1-02,Louisville,Georgia Tech,"W, 67-64 "
1-05,Louisville,Pittsburgh,"W, 75-72 "
1-08,Louisville,Florida St.,"L, 79-70 "
1-12,Louisville,North Carolina St.,"L, 79-63 "
1-15,Louisville,Pittsburgh,"L, 65-53 "
1-19,Louisville,Boston College,"W, 67-54 "
1-22,Louisville,Notre Dame,"L, 82-70 "
1-24,Louisville,Virginia,"L, 64-52 "
1-29,Louisville,Duke,"L, 74-65 "
2-01,Louisville,North Carolina,"L, 90-83 OT"
2-05,Louisville,Syracuse,"L, 92-69 "
2-09,Louisville,Notre Dame,"L, 63-57 "
2-16,Louisville,Miami FL,"L, 70-63 "
2-19,Louisville,Clemson,"W, 70-61 "
2-21,Louisville,North Carolina,"L, 70-63 "
2-26,Louisville,Wake Forest,"L, 99-77 "
3-01,Louisville,Virginia Tech,"L, 75-43 "
3-05,Louisville,Virginia,"L, 71-61 "
3-08,Louisville,Georgia Tech,"W, 84-74 "
3-09,Louisville,Virginia,"L, 51-50 "
11-13,Notre+Dame,Cal St. Northridge,"W, 68-52 "
11-16,Notre+Dame,High Point,"W, 70-61 "
11-22,Notre+Dame,Saint Mary's,"L, 62-59 "
11-23,Notre+Dame,Chaminade,"W, 90-64 "
11-24,Notre+Dame,Texas A&M,"L, 73-67 "
11-29,Notre+Dame,Illinois,"L, 82-72 "
12-03,Notre+Dame,Boston College,"L, 73-57 "
12-11,Notre+Dame,Kentucky,"W, 66-62 "
12-18,Notre+Dame,Indiana,"L, 64-56 "
12-20,Notre+Dame,Western Michigan,"W, 85-52 "
12-22,Notre+Dame,Texas A&M Corpus Chris,"W, 83-73 "
12-28,Notre+Dame,Pittsburgh,"W, 68-67 "
1-05,Notre+Dame,North Carolina,"W, 78-73 "
1-08,Notre+Dame,Georgia Tech,"W, 72-68 OT"
1-12,Notre+Dame,Clemson,"W, 72-56 "
1-15,Notre+Dame,Virginia Tech,"L, 79-73 "
1-17,Notre+Dame,Howard,"W, 71-68 "
1-22,Notre+Dame,Louisville,"W, 82-70 "
1-26,Notre+Dame,North Carolina St.,"W, 73-65 "
1-29,Notre+Dame,Virginia,"W, 69-65 "
1-31,Notre+Dame,Duke,"L, 57-43 "
2-02,Notre+Dame,Miami FL,"W, 68-64 "
2-05,Notre+Dame,North Carolina St.,"W, 69-57 "
2-09,Notre+Dame,Louisville,"W, 63-57 "
2-12,Notre+Dame,Clemson,"W, 76-61 "
2-16,Notre+Dame,Boston College,"W, 99-95 OT"
2-19,Notre+Dame,Wake Forest,"L, 79-74 "
2-23,Notre+Dame,Syracuse,"W, 79-69 "
2-26,Notre+Dame,Georgia Tech,"W, 90-56 "
3-02,Notre+Dame,Florida St.,"L, 74-70 "
3-05,Notre+Dame,Pittsburgh,"W, 78-54 "
3-10,Notre+Dame,Virginia Tech,"L, 87-80 "
3-15,Notre+Dame,Rutgers,"-2.4, 66-6460%"
3-16,Notre+Dame,Rutgers,"-2.4, 66-6460%"
11-10,Florida+St.,Penn,"W, 105-70 "
11-14,Florida+St.,Florida,"L, 71-55 "
11-17,Florida+St.,Tulane,"W, 59-54 "
11-21,Florida+St.,Loyola Marymount,"W, 73-45 "
11-22,Florida+St.,Missouri,"W, 81-58 "
11-24,Florida+St.,Boston University,"W, 81-80 OT"
11-30,Florida+St.,Purdue,"L, 93-65 "
12-04,Florida+St.,Syracuse,"L, 63-60 "
12-12,Florida+St.,South Carolina,"L, 66-65 "
12-15,Florida+St.,Lipscomb,"W, 97-60 "
1-01,Florida+St.,North Carolina St.,"W, 83-81 "
1-04,Florida+St.,Wake Forest,"L, 76-54 "
1-08,Florida+St.,Louisville,"W, 79-70 "
1-11,Florida+St.,Miami FL,"W, 65-64 "
1-15,Florida+St.,Syracuse,"W, 76-71 "
1-18,Florida+St.,Duke,"W, 79-78 OT"
1-20,Florida+St.,North Florida,"W, 86-73 "
1-22,Florida+St.,Miami FL,"W, 61-60 "
1-26,Florida+St.,Georgia Tech,"L, 75-61 "
1-29,Florida+St.,Virginia Tech,"L, 85-72 "
2-02,Florida+St.,Clemson,"L, 75-69 "
2-05,Florida+St.,Wake Forest,"L, 68-60 "
2-09,Florida+St.,Pittsburgh,"L, 56-51 "
2-12,Florida+St.,North Carolina,"L, 94-74 "
2-15,Florida+St.,Clemson,"W, 81-80 "
2-19,Florida+St.,Duke,"L, 88-70 "
2-21,Florida+St.,Boston College,"L, 71-55 "
2-26,Florida+St.,Virginia,"W, 64-63 "
3-02,Florida+St.,Notre Dame,"W, 74-70 "
3-05,Florida+St.,North Carolina St.,"W, 89-76 "
3-09,Florida+St.,Syracuse,"L, 96-57 "
11-09,Purdue,Bellarmine,"W, 96-67 "
11-12,Purdue,Indiana St.,"W, 92-67 "
11-16,Purdue,Wright St.,"W, 96-52 "
11-20,Purdue,North Carolina,"W, 93-84 "
11-21,Purdue,Villanova,"W, 80-74 "
11-26,Purdue,Nebraska Omaha,"W, 97-40 "
11-30,Purdue,Florida St.,"W, 93-65 "
12-03,Purdue,Iowa,"W, 77-70 "
12-09,Purdue,Rutgers,"L, 70-68 "
12-12,Purdue,North Carolina St.,"W, 82-72 OT"
12-18,Purdue,Butler,"W, 77-48 "
12-20,Purdue,Incarnate Word,"W, 79-59 "
12-29,Purdue,Nicholls St.,"W, 104-90 "
1-03,Purdue,Wisconsin,"L, 74-69 "
1-08,Purdue,Penn St.,"W, 74-67 "
1-14,Purdue,Nebraska,"W, 92-65 "
1-17,Purdue,Illinois,"W, 96-88 2OT"
1-20,Purdue,Indiana,"L, 68-65 "
1-23,Purdue,Northwestern,"W, 80-60 "
1-27,Purdue,Iowa,"W, 83-73 "
1-30,Purdue,Ohio St.,"W, 81-78 "
2-02,Purdue,Minnesota,"W, 88-73 "
2-05,Purdue,Michigan,"W, 82-76 "
2-08,Purdue,Illinois,"W, 84-68 "
2-10,Purdue,Michigan,"L, 82-58 "
2-13,Purdue,Maryland,"W, 62-61 "
2-16,Purdue,Northwestern,"W, 70-64 "
2-20,Purdue,Rutgers,"W, 84-72 "
2-26,Purdue,Michigan St.,"L, 68-65 "
3-01,Purdue,Wisconsin,"L, 70-67 "
3-05,Purdue,Indiana,"W, 69-67 "
3-11,Purdue,Penn St.,"W, 69-61 "
3-12,Purdue,Michigan St.,"W, 75-70 "
3-13,Purdue,Iowa,"L, 75-66 "
3-18,Purdue,Yale,"-14.6, 79-6491%"
11-09,Kansas,Michigan St.,"W, 87-74 "
11-12,Kansas,Tarleton St.,"W, 88-62 "
11-18,Kansas,Stony Brook,"W, 88-59 "
11-25,Kansas,North Texas,"W, 71-59 "
11-26,Kansas,Dayton,"L, 74-73 "
11-28,Kansas,Iona,"W, 96-83 "
12-03,Kansas,St. John's,"W, 95-75 "
12-07,Kansas,UTEP,"W, 78-52 "
12-11,Kansas,Missouri,"W, 102-65 "
12-18,Kansas,Stephen F. Austin,"W, 80-72 "
12-29,Kansas,Nevada,"W, 88-61 "
1-01,Kansas,George Mason,"W, 76-67 "
1-04,Kansas,Oklahoma St.,"W, 74-63 "
1-08,Kansas,Texas Tech,"L, 75-67 "
1-11,Kansas,Iowa St.,"W, 62-61 "
1-15,Kansas,West Virginia,"W, 85-59 "
1-18,Kansas,Oklahoma,"W, 67-64 "
1-22,Kansas,Kansas St.,"W, 78-75 "
1-24,Kansas,Texas Tech,"W, 94-91 2OT"
1-29,Kansas,Kentucky,"L, 80-62 "
2-01,Kansas,Iowa St.,"W, 70-61 "
2-05,Kansas,Baylor,"W, 83-59 "
2-07,Kansas,Texas,"L, 79-76 "
2-12,Kansas,Oklahoma,"W, 71-69 "
2-14,Kansas,Oklahoma St.,"W, 76-62 "
2-19,Kansas,West Virginia,"W, 71-58 "
2-22,Kansas,Kansas St.,"W, 102-83 "
2-26,Kansas,Baylor,"L, 80-70 "
3-01,Kansas,TCU,"L, 74-64 "
3-03,Kansas,TCU,"W, 72-68 "
3-05,Kansas,Texas,"W, 70-63 OT"
3-10,Kansas,West Virginia,"W, 87-63 "
3-11,Kansas,TCU,"W, 75-62 "
3-12,Kansas,Texas Tech,"W, 74-65 "
11-10,Kansas+St.,Florida A&M,"W, 67-57 "
11-17,Kansas+St.,Nebraska Omaha,"W, 79-64 "
11-22,Kansas+St.,Arkansas,"L, 72-64 "
11-23,Kansas+St.,Illinois,"L, 72-64 "
11-28,Kansas+St.,North Dakota,"W, 84-42 "
12-01,Kansas+St.,Albany,"W, 71-43 "
12-05,Kansas+St.,Wichita St.,"W, 65-59 "
12-08,Kansas+St.,Marquette,"L, 64-63 "
12-12,Kansas+St.,Green Bay,"W, 82-64 "
12-19,Kansas+St.,Nebraska,"W, 67-58 "
12-21,Kansas+St.,McNeese St.,"W, 74-59 "
1-01,Kansas+St.,Oklahoma,"L, 71-69 "
1-04,Kansas+St.,Texas,"L, 70-57 "
1-08,Kansas+St.,West Virginia,"L, 71-68 "
1-12,Kansas+St.,TCU,"L, 60-57 "
1-15,Kansas+St.,Texas Tech,"W, 62-51 "
1-18,Kansas+St.,Texas,"W, 66-65 "
1-22,Kansas+St.,Kansas,"L, 78-75 "
1-25,Kansas+St.,Baylor,"L, 74-49 "
1-29,Kansas+St.,Mississippi,"L, 67-56 "
2-02,Kansas+St.,Oklahoma St.,"W, 71-68 "
2-05,Kansas+St.,TCU,"W, 75-63 "
2-09,Kansas+St.,Baylor,"L, 75-60 "
2-12,Kansas+St.,Iowa St.,"W, 75-69 OT"
2-14,Kansas+St.,West Virginia,"W, 78-73 "
2-19,Kansas+St.,Oklahoma St.,"L, 82-79 OT"
2-22,Kansas+St.,Kansas,"L, 102-83 "
2-26,Kansas+St.,Iowa St.,"L, 74-73 "
2-28,Kansas+St.,Texas Tech,"L, 73-68 "
3-05,Kansas+St.,Oklahoma,"L, 78-71 "
3-09,Kansas+St.,West Virginia,"L, 73-67 "
11-09,Xavier,Niagara,"W, 63-60 "
11-12,Xavier,Kent St.,"W, 73-59 "
11-18,Xavier,Ohio St.,"W, 71-65 "
11-21,Xavier,Norfolk St.,"W, 88-48 "
11-24,Xavier,Iowa St.,"L, 82-70 "
11-26,Xavier,Virginia Tech,"W, 59-58 "
12-01,Xavier,Central Michigan,"W, 78-45 "
12-05,Xavier,Oklahoma St.,"W, 77-71 "
12-08,Xavier,Ball St.,"W, 96-50 "
12-11,Xavier,Cincinnati,"W, 83-63 "
12-15,Xavier,Morehead St.,"W, 86-63 "
12-18,Xavier,Marquette,"W, 80-71 "
12-21,Xavier,Villanova,"L, 71-58 "
1-07,Xavier,Butler,"W, 87-72 "
1-12,Xavier,Villanova,"L, 64-60 "
1-15,Xavier,Creighton,"W, 80-73 "
1-19,Xavier,DePaul,"W, 68-67 "
1-23,Xavier,Marquette,"L, 75-64 "
1-26,Xavier,Providence,"L, 65-62 "
1-29,Xavier,Creighton,"W, 74-64 "
2-02,Xavier,Butler,"W, 68-66 "
2-05,Xavier,DePaul,"L, 69-65 "
2-09,Xavier,Seton Hall,"L, 73-71 "
2-11,Xavier,Connecticut,"W, 74-68 "
2-16,Xavier,St. John's,"L, 86-73 "
2-19,Xavier,Connecticut,"L, 72-61 "
2-23,Xavier,Providence,"L, 99-92 3OT"
2-26,Xavier,Seton Hall,"L, 82-66 "
3-02,Xavier,St. John's,"L, 81-66 "
3-05,Xavier,Georgetown,"W, 97-75 "
3-09,Xavier,Butler,"L, 89-82 OT"
3-15,Xavier,Cleveland St.,"-13.6, 82-6890%"
11-09,Arizona,Northern Arizona,"W, 81-52 "
11-12,Arizona,UT Rio Grande Valley,"W, 104-50 "
11-16,Arizona,North Dakota St.,"W, 97-45 "
11-19,Arizona,Wichita St.,"W, 82-78 OT"
11-21,Arizona,Michigan,"W, 80-62 "
11-27,Arizona,Sacramento St.,"W, 105-59 "
12-05,Arizona,Oregon St.,"W, 90-65 "
12-08,Arizona,Wyoming,"W, 94-65 "
12-11,Arizona,Illinois,"W, 83-79 "
12-15,Arizona,Northern Colorado,"W, 101-76 "
12-18,Arizona,Cal Baptist,"W, 84-60 "
12-22,Arizona,Tennessee,"L, 77-73 "
1-03,Arizona,Washington,"W, 95-79 "
1-13,Arizona,Colorado,"W, 76-55 "
1-15,Arizona,Utah,"W, 82-64 "
1-20,Arizona,Stanford,"W, 85-57 "
1-23,Arizona,California,"W, 96-71 "
1-25,Arizona,UCLA,"L, 75-59 "
1-29,Arizona,Arizona St.,"W, 67-56 "
2-03,Arizona,UCLA,"W, 76-66 "
2-05,Arizona,USC,"W, 72-63 "
2-07,Arizona,Arizona St.,"W, 91-79 "
2-10,Arizona,Washington St.,"W, 72-60 "
2-12,Arizona,Washington,"W, 92-68 "
2-17,Arizona,Oregon St.,"W, 83-69 "
2-19,Arizona,Oregon,"W, 84-81 "
2-24,Arizona,Utah,"W, 97-77 "
2-26,Arizona,Colorado,"L, 79-63 "
3-01,Arizona,USC,"W, 91-71 "
3-03,Arizona,Stanford,"W, 81-69 "
3-05,Arizona,California,"W, 89-61 "
3-10,Arizona,Stanford,"W, 84-80 "
3-11,Arizona,Colorado,"W, 82-72 "
3-12,Arizona,UCLA,"W, 84-76 "
11-09,Oregon,Texas Southern,"W, 83-66 "
11-12,Oregon,SMU,"W, 86-63 "
11-16,Oregon,BYU,"L, 81-49 "
11-22,Oregon,Chaminade,"W, 73-49 "
