Rk,TEAM,CONF,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB,SEED,YEAR,WAS_SEED_AVG
41,"Georgetown
12 seed, ?",BE,25.00,"13-12
7–9","108.5
62","93.2
27",".8514
41","49.6
191","48
77","21.7
307","16.2
312","32.4
44","27.3
149","30.3
203","25.9
44","46.1
295","47.4
86","36.6
50","32.6
106","69.5
114","-1
61",12,2021,0.35
45,"Rutgers
10 seed, ?",B10,26.00,"15-11
10–10","106.7
88","91.9
19",".8471
45","50.2
167","47.7
65","16.4
52","18.9
154","27.4
181","29.1
220","27.7
277","33.2
209","51.9
83","47.4
86","31.1
288","32.1
82","67.8
203","1.9
32",10,2021,0.55
47,"Virginia Tech
10 seed, ?",ACC,21.00,"15-6
9–4","109.3
52","94.5
48",".8427
47","52.5
68","48.4
94","17.3
88","17.6
249","28.4
153","24.3
37","33.2
125","30.9
159","51.7
91","47.6
96","35.7
76","33
128","66.5
260","0.9
43",10,2021,0.55
48,"Syracuse
11 seed, ?",ACC,25.00,"16-9
9–7","112.8
25","97.6
88",".8401
48","50.7
130","48.5
101","16
33","20.8
65","30.1
101","33.5
334","28.1
260","25.1
35","50.9
120","49.3
148","33.7
171","31.6
59","69.4
121","0.5
45",11,2021,0.633333333
50,"Clemson
7 seed, ?",ACC,23.00,"16-7
10–6","105.9
99","91.9
18",".8367
50","50.4
150","48.7
113","19.5
195","21.6
46","26.6
202","26.6
123","23.6
336","29.6
129","49.2
193","47.5
89","34.6
124","33.7
163","64.4
328","2.9
21",7,2021,0.15
51,"UCLA
11 seed, ?",P12,26.00,"17-9
13–6","112.3
28","97.5
85",".8352
51","52
82","50.7
196","16.6
57","17.6
249","30.4
91","24.4
42","32.6
150","28
87","50.6
128","49.4
154","36.7
47","35.1
239","64.7
321","1
41",11,2021,0.633333333
52,"Oregon
7 seed, ?",P12,26.00,"20-6
14–4","113.1
21","98.2
98",".8348
52","54.4
31","50.1
173","16.8
64","20.3
85","28.3
154","27.2
144","26.8
295","27.1
61","52.9
57","49.9
172","37.9
18","33.6
156","67.2
226","3
20",7,2021,0.15
58,"Michigan St.
11 seed, ?",B10,27.00,"15-12
9–11","105.8
101","93.5
34",".8053
58","47.9
266","47.8
69","18.9
168","15.4
328","30.4
91","26.1
102","31.4
174","37.1
294","47.8
251","48.1
109","32
254","31.5
55","68.7
155","1.4
37",11,2021,0.633333333
68,"Wichita St.
11 seed, ?",Amer,19.00,"16-5
11–2","109.6
50","98.1
95",".7825
68","47.6
278","47.1
48","15.9
29","18.1
212","29.8
109","33.4
333","38.2
30","29.7
134","44.7
322","47.6
96","34.5
134","30.8
35","67.5
213","1.3
40",11,2021,0.633333333
73,"Ohio
13 seed, ?",MAC,22.00,"16-7
9–5","111.9
30","100.7
144",".7710
73","55.8
13","51.1
214","17
75","20
99","28.7
143","27.4
153","29.6
226","30.2
145","56.4
11","51.6
248","36.6
50","33.7
163","69.3
124","-2
80",13,2021,0.2
75,"Colgate
14 seed, ?",Pat,15.00,"14-1
11–1","110.8
39","100.0
131",".7645
75","57.1
5","45.7
19","13.8
5","16.6
298","27.9
166","25.6
80","31.1
178","25.1
35","55.4
17","49.5
157","40.2
3","26.1
1","71.9
35","0.3
46",14,2021,0.15
76,"UC Santa Barbara
12 seed, ?",BW,24.00,"22-4
15–3","107.9
72","97.6
87",".7615
76","53
54","47.7
65","16.5
53","20.8
65","28.2
158","24.5
47","35.5
72","28
87","53.4
47","46.6
60","34.8
114","33.4
145","65.8
291","-0.2
51",12,2021,0.35
79,"North Texas
13 seed, ?",CUSA,25.00,"17-9
9–5","104.4
122","94.6
49",".7581
79","54
39","45.7
19","20.4
250","21.4
52","27.9
166","26.9
137","27.2
281","31.7
175","52.9
57","44.8
15","37.3
34","31.6
59","63.3
340","-2.5
88",13,2021,0.2
82,"Drake
11 seed, ?",MVC,27.00,"25-4
15–3","111.8
31","101.5
163",".7512
82","54.5
30","48.4
94","15.2
10","18.8
160","31.6
63","24.9
61","25.2
320","29.7
134","54.4
28","49.7
164","36.6
50","30.8
35","66.7
256","1.5
35",11,2021,0.633333333
85,"Oregon St.
12 seed, ?",P12,28.00,"17-12
10–10","108.5
63","99.6
118",".7287
85","48.7
226","50.4
186","17.2
80","18.5
187","29.8
109","29.4
231","34
107","38.2
304","46.9
276","52.5
268","34.6
124","31.4
53","65.1
308","-1.6
72",12,2021,0.35
97,"Abilene Christian
14 seed, ?",Slnd,23.00,"23-4
13–2","101.8
173","94.7
52",".6976
97","52.9
58","45.4
11","19.4
190","26.7
1","30.6
86","27.9
169","34
107","42.5
334","50.8
124","46.3
51","37.7
21","29.1
12","70
99","-1.1
67",14,2021,0.15
98,"Winthrop
12 seed, ?",BSth,24.00,"23-1
17–1","104.2
125","96.9
77",".6971
98","53
54","49
128","19.5
195","22.5
21","35.6
12","22.2
10","35.7
69","33.8
230","53
52","49.2
146","35.3
96","32.4
93","73.8
10","0.9
42",12,2021,0.35
99,"Liberty
13 seed, ?",ASun,24.00,"23-5
11–2","109.0
54","101.5
160",".6965
99","57.4
4","48
77","15.6
19","17.3
266","23.1
299","22.4
14","25.5
314","29.6
129","56.8
9","47.8
104","38.8
10","32.2
85","63.4
338","-1.7
75",13,2021,0.2
102,"Grand Canyon
15 seed, ?",WAC,20.00,"17-6
9–3","102.7
148","96.0
66",".6852
102","53
54","44.9
6","20.4
250","16.6
298","32.4
44","22.6
15","34.7
84","29.6
129","55.7
14","44.9
22","32.2
245","29.9
17","65.4
304","-3.2
106",15,2021,0.05
107,"Eastern Washington
14 seed, ?",BSky,22.00,"16-7
12–3","107.6
78","101.1
155",".6724
107","54.1
38","47.5
56","16.5
53","16.5
302","23.9
277","25.8
92","30.4
200","27.7
76","54.2
33","47.6
96","35.9
72","31.6
59","72.2
30","-3.6
114",14,2021,0.15
